"ID","X","Y","City","Date Collected","Nightly Price","Monthly Price","Neighborhood","Room Type","Street","Units","URL","User URL"
"air2717164",-90.083173284494,29.921749609956,"New Orleans","2015-08-11T16:30:25.494Z",500,14000,"Irish Channel","Entire home/apt","Annunciation Street",1,"http://airbnb.com/rooms/2717164","http://airbnb.com/users/show/13904451"
"air2800602",-90.091429004735,29.922527036682,"New Orleans","2015-09-01T06:15:01.536Z",170,4760,"East and West Riverside","Entire home/apt","Antonine Street",1,"http://airbnb.com/rooms/2800602","http://airbnb.com/users/show/14323705"
"air302478",-90.107488391464,29.918604813456,"New Orleans","2015-09-01T06:15:01.536Z",200,4000,"East and West Riverside","Entire home/apt","Constance St",1,"http://airbnb.com/rooms/302478","http://airbnb.com/users/show/1264795"
"air1565905",-90.112921821566,29.94842484169,"New Orleans","2015-09-01T06:15:01.536Z",90,2520,"Fontainebleau","Entire home/apt","South Rocheblave Street",1,"http://airbnb.com/rooms/1565905","http://airbnb.com/users/show/1755773"
"air1450713",-90.079984966772,29.938263832597,"New Orleans","2015-09-01T06:15:01.536Z",290,4000,"Central City","Entire home/apt","Carondelet Street",1,"http://airbnb.com/rooms/1450713","http://airbnb.com/users/show/7785342"
"air2653232",-90.081397723435,29.934355290088,"New Orleans","2015-09-01T06:15:01.536Z",400,11200,"Central City","Entire home/apt","Carondelet Street",1,"http://airbnb.com/rooms/2653232","http://airbnb.com/users/show/1185002"
"air862747",-90.076693466029,29.93165307612,"New Orleans","2015-08-11T16:30:25.494Z",66,1500,"Lower Garden District","Entire home/apt","Saint Andrew Street",3,"http://airbnb.com/rooms/862747",""
"air83877",-90.067332064605,29.967169876553,"New Orleans","2015-09-01T06:15:01.536Z",90,1900,"Treme","Entire home/apt","Marais St",4,"http://airbnb.com/rooms/83877","http://airbnb.com/users/show/2935610"
"air1028149",-90.06742333292,29.955605558868,"New Orleans","2015-09-01T06:15:01.536Z",350,9800,"French Quarter","Entire home/apt","Exchange Place",1,"http://airbnb.com/rooms/1028149","http://airbnb.com/users/show/5654993"
"air853139",-90.067550778537,29.961391589254,"New Orleans","2015-08-11T16:30:25.494Z",600,16800,"French Quarter","Entire home/apt","Saint Ann Street",2,"http://airbnb.com/rooms/853139","http://airbnb.com/users/show/4454448"
"air4164638",-90.068545552419,29.957247945595,"New Orleans","2015-09-01T06:15:01.536Z",200,5600,"French Quarter","Entire home/apt","Dauphine Street",3,"http://airbnb.com/rooms/4164638","http://airbnb.com/users/show/4823282"
"air4081740",-90.063270321182,29.96214704254,"New Orleans","2015-09-01T06:15:01.536Z",300,8400,"French Quarter","Entire home/apt","Saint Philip Street",1,"http://airbnb.com/rooms/4081740","http://airbnb.com/users/show/6534205"
"air2798152",-90.058063784296,29.963984361076,"New Orleans","2015-09-01T06:15:01.536Z",145,4060,"MarignyBywater","Entire home/apt","Chartres Street",1,"http://airbnb.com/rooms/2798152","http://airbnb.com/users/show/5310703"
"air4575896",-90.059676162078,29.966693432369,"New Orleans","2015-09-01T06:15:01.536Z",300,5000,"MarignyBywater","Entire home/apt","Pauger Street",1,"http://airbnb.com/rooms/4575896","http://airbnb.com/users/show/23719939"
"air202364",-90.060235929019,29.964800432694,"New Orleans","2015-08-18T01:15:01.767Z",139,3892,"French Quarter","Entire home/apt","Ursulines Avenue",2,"http://airbnb.com/rooms/202364","http://airbnb.com/users/show/7670371"
"air2986073",-90.063384991716,29.96360172653,"New Orleans","2015-09-01T06:15:01.536Z",275,5000,"French Quarter","Entire home/apt","Esplanade Avenue",1,"http://airbnb.com/rooms/2986073","http://airbnb.com/users/show/13541931"
"air176117",-90.058144140706,29.96830382214,"New Orleans","2015-09-01T06:15:01.536Z",119,3332,"MarignyBywater","Entire home/apt","Elysian Fields Avenue",1,"http://airbnb.com/rooms/176117","http://airbnb.com/users/show/842045"
"air2185863",-90.05193937845,29.967731908544,"New Orleans","2015-09-01T06:15:01.536Z",650,7500,"MarignyBywater","Entire home/apt","Burgundy Street",1,"http://airbnb.com/rooms/2185863","http://airbnb.com/users/show/4778357"
"air2976398",-90.055301277363,29.967036161576,"New Orleans","2015-09-01T06:15:01.536Z",265,6500,"MarignyBywater","Entire home/apt","North Rampart Street",1,"http://airbnb.com/rooms/2976398","http://airbnb.com/users/show/15181286"
"air571235",-90.050910091873,29.971890333301,"New Orleans","2015-09-01T06:15:01.536Z",50,1400,"","Shared room","St Roch Ave",1,"http://airbnb.com/rooms/571235","http://airbnb.com/users/show/2811163"
"air1890318",-90.046785599583,29.969319092715,"New Orleans","2015-09-01T06:15:01.536Z",40,1120,"MarignyBywater","Private room","Saint Claude Avenue",1,"http://airbnb.com/rooms/1890318","http://airbnb.com/users/show/5868935"
"air4127494",-90.046705218928,29.970236696961,"New Orleans","2015-09-01T06:15:01.536Z",70,1850,"St ClaudeSt Roch","Private room","Saint Ferdinand Street",1,"http://airbnb.com/rooms/4127494","http://airbnb.com/users/show/19658190"
"air1656983",-90.041836902143,29.965057056084,"New Orleans","2015-09-01T06:15:01.536Z",75,2100,"MarignyBywater","Private room","Saint Claude Avenue",1,"http://airbnb.com/rooms/1656983","http://airbnb.com/users/show/8371712"
